timestamp,latitudine,longitudine,PM10 (ug/m3)
1645639750,45.057739,7.680947,2.000000
1645640024,45.057732,7.680923,7.692982
1645640024,45.057732,7.680923,7.072766
1645640299,45.057747,7.680937,2.000000
1645640299,45.057747,7.680937,2.000000
1645640605,45.057743,7.680935,2.000000
1645640605,45.057743,7.680935,11.922666
1645640908,45.057739,7.680926,3.659965
1645640908,45.057739,7.680926,2.568021
1645641075,45.057827,7.679494,2.000000
1645641075,45.057827,7.679494,2.000000
1645641089,45.057747,7.680924,2.000000
1645641153,45.055992,7.679096,2.000000
1645641153,45.055992,7.679096,15.228422
1645641194,45.057739,7.680937,15.228422
1645641194,45.057739,7.680937,4.560232
1645641466,45.057739,7.680931,2.000000
1645641466,45.057739,7.680931,2.000000
1645642023,45.057323,7.680653,17.346994
1645642023,45.057323,7.680653,32.762192
1645642034,45.057739,7.680935,32.762192
1645642227,45.056953,7.680400,24.370871
1645642227,45.056953,7.680400,45.109337
1645642290,45.057762,7.680833,45.109337
1645642290,45.057762,7.680833,45.737907
1645642387,45.058521,7.681232,43.277763
1645642387,45.058521,7.681232,48.067211
1645642396,45.057751,7.680923,48.067211
1645642687,45.061062,7.682539,53.447548
1645642687,45.061062,7.682539,27.120714
1645642727,45.057747,7.680909,27.120714
1645643769,45.056763,7.681156,6.457977
1645643769,45.056763,7.681156,20.878736
1645643782,45.057743,7.680929,20.878736
1645643830,45.057098,7.680721,20.878736
1645643830,45.057098,7.680721,39.484482
1645643842,45.057735,7.680925,39.484482
1645643948,45.058189,7.680507,34.353310
1645643948,45.058189,7.680507,36.918198
1645643966,45.057739,7.680936,36.918198
1645644174,45.057880,7.680132,37.074760
1645644174,45.057880,7.680132,41.507843
1645644206,45.057739,7.680932,41.507843
1645644206,45.057739,7.680932,36.044346
1645644230,45.057446,7.680617,36.044346
1645644266,45.057739,7.680931,36.044346
1645644266,45.057739,7.680931,19.937374
1645644286,45.058037,7.680729,19.937374
1645644296,45.057739,7.680934,19.937374
1645644356,45.058041,7.680821,19.937374
1645644356,45.058041,7.680821,23.393581
1645644387,45.057739,7.680940,23.393581
1645644387,45.057739,7.680940,12.489201
1645644684,45.057552,7.680029,4.276013
1645644684,45.057552,7.680029,18.372887
1645644718,45.057739,7.680929,18.372887
1645644882,45.057446,7.681119,22.500032
1645644882,45.057446,7.681119,4.700648
1645644898,45.057735,7.680932,4.700648
1645645762,45.057068,7.681121,27.491642
1645645762,45.057068,7.681121,5.704961
1645645822,45.057568,7.680585,5.704961
1645645822,45.057568,7.680585,17.195259
1645645865,45.057739,7.680932,17.195259
1645645865,45.057739,7.680932,33.193047
1645646064,45.057785,7.680160,23.124479
1645646064,45.057785,7.680160,22.041758
1645646077,45.057739,7.680909,22.041758
1645646125,45.054913,7.677233,22.041758
1645646125,45.054913,7.677233,20.627155
1645646168,45.057739,7.680926,20.627155
1645646168,45.057739,7.680926,21.869450
1645646311,45.057137,7.680734,31.343159
1645646311,45.057137,7.680734,5.204727
1645646348,45.056812,7.682096,5.204727
1645646348,45.056812,7.682096,24.101826
1645646381,45.057743,7.680942,24.101826
1645646390,45.055424,7.678052,24.101826
1645646442,45.057739,7.680932,24.101826
1645646442,45.057739,7.680932,23.243208
1645646488,45.054813,7.677480,23.243208
1645646488,45.054813,7.677480,33.125057
1645646532,45.057739,7.680939,33.125057
1645646532,45.057739,7.680939,44.394787
1645646556,45.059605,7.681603,44.394787
1645646581,45.057693,7.680613,44.394787
1645646581,45.057693,7.680613,49.700508
1645646631,45.057926,7.680803,49.700508
1645648410,45.057743,7.680926,48.200592
1645648410,45.057743,7.680926,34.786854
1645648680,45.057743,7.680930,50.028297
1645648680,45.057743,7.680930,50.385910
1645648951,45.057739,7.680932,36.505749
1645648951,45.057739,7.680932,35.648014
1645649221,45.057743,7.680927,31.555529
1645649221,45.057743,7.680927,46.540710
1645649363,45.057148,7.680451,43.875244
1645649363,45.057148,7.680451,31.167870
1645649400,45.057732,7.680923,31.167870
1645649400,45.057732,7.680923,30.130327
1645649456,45.057549,7.680571,30.130327
1645649491,45.057743,7.680914,30.130327
1645649491,45.057743,7.680914,27.072594
1645649538,45.057415,7.680704,27.072594
1645649538,45.057415,7.680704,32.558121
1645649551,45.057732,7.680926,32.558121
1645649600,45.057205,7.680421,32.558121
1645649600,45.057205,7.680421,40.950985
1645649612,45.057732,7.680907,40.950985
1645650747,45.056042,7.680493,38.965950
1645650747,45.056042,7.680493,21.442057
1645650777,45.058475,7.681449,21.442057
1645650810,45.057701,7.681987,21.442057
1645650810,45.057701,7.681987,41.256012
1645650824,45.057835,7.680668,41.256012
1645650843,45.056042,7.680493,41.256012
1645650843,45.056042,7.680493,34.413940
1645650876,45.057732,7.680917,34.413940
1645650903,45.056812,7.682096,34.413940
1645650903,45.056812,7.682096,31.637665
1645650936,45.057739,7.680918,31.637665
1645651123,45.057224,7.680801,30.807501
1645651123,45.057224,7.680801,45.121971
1645651144,45.056042,7.680493,45.121971
1645651144,45.056042,7.680493,40.922417
1645651176,45.057735,7.680924,40.922417
1645652026,45.057693,7.681311,37.428543
1645652026,45.057693,7.681311,26.581722
1645652049,45.057735,7.680926,26.581722
1645652049,45.057735,7.680926,35.516560
1645652127,45.057713,7.681457,35.516560
1645652127,45.057713,7.681457,28.434307
1645652142,45.057735,7.680932,28.434307
1645652301,45.057732,7.680925,24.338409
1645652301,45.057732,7.680925,34.655170
1645655563,45.057735,7.680918,27.943573
1645655563,45.057735,7.680918,30.649782
1645655833,45.057854,7.680469,27.658382
1645655833,45.057854,7.680469,32.677650
1645662860,45.058151,7.681889,16.130730
1645662860,45.058151,7.681889,17.798637
1645662917,45.057774,7.680377,17.798637
1645662917,45.057774,7.680377,15.771022
1645662971,45.057735,7.680922,15.771022
1645662971,45.057735,7.680922,9.788370
1645662989,45.058266,7.679299,9.788370
1645663048,45.057499,7.680555,9.788370
1645663048,45.057499,7.680555,2.835292
1645663061,45.057728,7.680912,2.835292
1645663152,45.057735,7.680929,14.907773
1645663152,45.057735,7.680929,18.361578
1645677032,45.057735,7.680919,2.000000
1645677032,45.057735,7.680919,2.000000
1645677065,45.058598,7.680584,2.000000
1645677065,45.058598,7.680584,6.752120
1645677126,45.057594,7.680760,6.752120
1645677126,45.057594,7.680760,8.183798
1645677199,45.058136,7.681156,8.183798
1645677199,45.058136,7.681156,9.342203
1645677239,45.057739,7.680918,9.342203
1645677305,45.057659,7.680810,2.000000
1645677305,45.057659,7.680810,2.000000
1645677621,45.057968,7.681203,2.000000
1645677621,45.057968,7.681203,2.000000
1645677630,45.057735,7.680935,2.000000
1645693772,45.057735,7.680940,17.918371
1645693772,45.057735,7.680940,22.607071
1645694250,45.057739,7.680953,26.690945
1645694250,45.057739,7.680953,19.790943
1645694586,45.057732,7.680973,33.347603
1645694586,45.057732,7.680973,22.561342
1645695935,45.057571,7.680629,31.267216
1645695935,45.057571,7.680629,34.968533
1645696099,45.057735,7.680934,22.466038
1645696099,45.057735,7.680934,22.845570
1645696255,45.058353,7.681234,34.655785
1645696255,45.058353,7.681234,33.989391
1645696279,45.057735,7.680930,33.989391
1645696279,45.057735,7.680930,19.782143
1645696449,45.058247,7.681308,30.972668
1645696449,45.058247,7.681308,25.767006
1645696461,45.057739,7.680936,25.767006
1645696668,45.058971,7.682089,39.828629
1645696668,45.058971,7.682089,26.924765
1645696702,45.057739,7.680910,26.924765
1645696702,45.057739,7.680910,27.159672
1645696719,45.057648,7.680496,27.159672
1645696732,45.057732,7.680915,27.159672
1645697423,45.058155,7.681076,28.638067
1645697423,45.058155,7.681076,35.556828
1645697457,45.057735,7.680935,35.556828
1645697595,45.057487,7.681155,27.141878
1645697595,45.057487,7.681155,24.190115
1645697606,45.057728,7.680938,24.190115
1645697683,45.056747,7.681660,24.190115
1645697683,45.056747,7.681660,19.306673
1645697697,45.057732,7.680939,19.306673
1645698066,45.049950,7.677461,48.199570
1645698154,45.057732,7.680910,25.739801
1645698154,45.057732,7.680910,22.641460
1645698213,45.049950,7.677461,22.641460
1645698213,45.049950,7.677461,37.717041
1645698465,45.061146,7.683481,30.927433
1645698465,45.061146,7.683481,32.953072
1645698508,45.056908,7.680597,32.953072
1645698508,45.056908,7.680597,36.801735
1645698551,45.057732,7.680926,36.801735
1645698551,45.057732,7.680926,21.873512
1645698558,45.057510,7.681253,21.873512
1645698581,45.057739,7.680924,21.873512
1645698629,45.057247,7.680815,21.873512
